CustomerID,Country,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent,late_delivery
12426,Germany,510.73,510.73,510.73,510.73,1,,254,0,0,510.73,1
12427,Germany,802.25,859.2,429.6,0,2,,266,-9,-56.95,859.2,1
12428,Finland,18407.03,7577.85,1844.629,0,10,27,10348,-32,-39.26,18446.29,1
12432,Norway,9530.61,8420.01,4765.305,1110.6,2,0,4143,0,0,9530.61,1
12433,Norway,10959.38,5537.7,5479.69,5421.68,2,7,9948,0,0,10959.38,1
12437,France,6218.98,1246.68,627.373,0,10,18.625,4217,-5,-54.75,6273.73,0
12438,Norway,2274.88,2274.88,2274.88,2274.88,1,,1784,0,0,2274.88,0
12441,France,155.55,155.55,155.55,155.55,1,,120,0,0,155.55,0
12444,Norway,6655.78,5086.94,3327.89,1568.84,2,49,1824,0,0,6655.78,0
12447,Belgium,431.49,431.49,431.49,431.49,1,,187,0,0,431.49,1
12449,Belgium,4525.24,2523.95,2262.62,2001.29,2,57,1898,0,0,4525.24,0
12450,Spain,197.88,101.88,98.94,96,2,17,128,0,0,197.88,0
12451,Switzerland,16495.89,8794.2,5532.63,0,3,106,13206,-120,-102,16597.89,0
12453,Austria,707.09,707.09,707.09,707.09,1,,473,0,0,707.09,0
12456,Switzerland,5864.69,3247.43,1963.946667,0,3,123,3411,-17,-27.15,5891.84,1
12458,Switzerland,1065.18,1065.18,1065.18,1065.18,1,,854,0,0,1065.18,1
12461,Switzerland,626.88,626.88,626.88,626.88,1,,282,0,0,626.88,1
12462,Spain,1793.34,1814.14,907.07,0,2,,862,-4,-20.8,1814.14,1
12463,Belgium,2716.26,1000.76,680.415,0,4,32.5,1722,-4,-5.4,2721.66,0
12464,Belgium,2246.7,689.1,374.45,91.8,6,40.2,255,0,0,2246.7,0
12465,Belgium,1076.5,1076.5,1076.5,1076.5,1,,772,0,0,1076.5,0
12468,Germany,652.04,472.95,219.18,0,3,128,362,-2,-5.5,657.54,0
12471,Germany,30156.99,7612.83,1028.435667,0,30,15.8125,13910,-146,-696.08,30853.07,0
12472,Germany,13001.81,4342,1477.864444,0,9,57.25,9054,-113,-298.97,13300.78,0
12473,Germany,3117.4,1966.36,1052.62,0,3,77,2801,-71,-40.46,3157.86,0
12474,Germany,10720.14,2152.97,571.0978947,0,19,16.81818182,7632,-39,-130.72,10850.86,0
12476,Germany,8137.78,3619.52,689.04,0,12,43.6,3516,-23,-130.7,8268.48,0
12477,Germany,12779.81,6573,3197.34,0,4,62,3742,-5,-9.55,12789.36,1
12480,Germany,5625.47,2238,1875.156667,1369.14,3,96,3147,0,0,5625.47,0
12481,Germany,11659.27,2951.03,1296.081111,0,9,26.28571429,7248,-14,-5.46,11664.73,0
12484,Spain,9731.1,4033.18,2441.9,0,4,116,5875,-5,-36.5,9767.6,0
12489,France,298.93,298.93,298.93,298.93,1,,103,0,0,298.93,0
12490,France,5177.47,2270.36,1294.3675,739.2,4,63.33333333,3292,0,0,5177.47,1
12492,Germany,405.75,405.75,405.75,405.75,1,,212,0,0,405.75,1
12493,France,362.79,196.5,126.58,0,3,31,204,-1,-16.95,379.74,0
12494,France,2436.66,1197.41,248.561,0,10,50.25,1097,-12,-48.95,2485.61,1
12500,Germany,5034.1,1333.5,839.0166667,410.04,6,45.2,3732,0,0,5034.1,1
12501,Germany,1945.68,2025.39,1012.695,0,2,,1775,-61,-79.71,2025.39,0
12502,Spain,6110.31,1954.01,1527.5775,1017.6,4,60.33333333,1607,0,0,6110.31,1
12506,France,73.5,73.5,73.5,73.5,1,,23,0,0,73.5,1
12507,Spain,1006.06,643.9,263.2025,0,4,82,896,-11,-46.75,1052.81,0
12509,France,158.5,158.5,158.5,158.5,1,,54,0,0,158.5,1
12510,Spain,814.57,597.05,407.285,217.52,2,182,347,0,0,814.57,1
12513,France,1696.83,1696.83,1696.83,1696.83,1,,1294,0,0,1696.83,1
12514,Italy,1017.68,1017.68,1017.68,1017.68,1,,440,0,0,1017.68,0
12515,Italy,278.7,278.7,278.7,278.7,1,,128,0,0,278.7,0
12516,Germany,1408.7,1408.7,1408.7,1408.7,1,,920,0,0,1408.7,0
12517,Germany,4384.35,2279.88,2192.175,2104.47,2,63,2584,0,0,4384.35,0
12518,Germany,844.28,844.28,844.28,844.28,1,,516,0,0,844.28,1
12520,Germany,5146.18,2481.41,1039.586,0,5,43.33333333,3149,-9,-51.75,5197.93,1
12521,Germany,545.68,545.68,545.68,545.68,1,,306,0,0,545.68,1
12523,France,2798.58,579,399.7971429,301.5,7,36.83333333,1490,0,0,2798.58,1
12524,Germany,8023.53,2939.77,1337.255,902.3,6,33.8,6900,0,0,8023.53,1
12527,Germany,709.92,390.72,354.96,319.2,2,30,624,0,0,709.92,0
12528,Germany,3564.72,1344.51,595.9866667,0,6,66,1529,-6,-11.2,3575.92,0
12530,Germany,2843.91,1130.8,720.64,0,4,106,1566,-13,-38.65,2882.56,1
12534,Germany,981.18,981.18,981.18,981.18,1,,645,0,0,981.18,1
12535,France,1050.65,1050.65,1050.65,1050.65,1,,331,0,0,1050.65,0
12539,Spain,13773.72,5551.55,4591.24,3059.47,3,35.5,4910,0,0,13773.72,1
12540,Spain,21350.5,4073.63,1946.927273,0,11,27.66666667,11932,-6,-65.7,21416.2,1
12541,Spain,1526.09,996.45,763.045,529.64,2,107,1309,0,0,1526.09,0
12545,Spain,1558.6,1558.6,1558.6,1558.6,1,,1028,0,0,1558.6,1
12547,Spain,151.8,131.4,75.9,20.4,2,82,132,0,0,151.8,0
12548,Spain,67.2,67.2,67.2,67.2,1,,48,0,0,67.2,1
12551,Spain,168,168,168,168,1,,100,0,0,168,0
12553,France,6171.96,1627.47,620.826,0,10,36.16666667,3736,-39,-36.3,6208.26,0
12556,Spain,918.28,918.28,918.28,918.28,1,,519,0,0,918.28,0
12557,Spain,28230.64,12692.16,7057.66,1517,4,70.33333333,10328,0,0,28230.64,1
12559,Germany,500.21,450.11,175.2366667,0,3,8,281,-2,-25.5,525.71,1
12560,Germany,4025.62,4025.62,4025.62,4025.62,1,,2405,0,0,4025.62,0
12561,Germany,238.85,238.85,238.85,238.85,1,,177,0,0,238.85,0
12562,France,4511.7,2081.5,1503.9,1210.23,3,35.5,2436,0,0,4511.7,1
12564,France,402.9,402.9,402.9,402.9,1,,130,0,0,402.9,1
12567,France,18425.87,4241.49,2079.134444,0,9,37,9217,-216,-286.34,18712.21,0
12569,Germany,4317.37,841.44,333.9284615,0,13,12.63636364,2479,-6,-23.7,4341.07,1
12571,France,665.25,665.25,665.25,665.25,1,,507,0,0,665.25,0
12573,France,160.54,160.54,160.54,160.54,1,,84,0,0,160.54,0
12574,France,182.45,182.45,182.45,182.45,1,,59,0,0,182.45,1
12577,France,664.75,664.75,664.75,664.75,1,,441,0,0,664.75,1
12578,Italy,4294.01,4335.16,1445.053333,0,3,,2227,-25,-41.15,4335.16,1
12580,Germany,379.7,379.7,379.7,379.7,1,,236,0,0,379.7,0
12582,Finland,351.36,186.2,175.68,165.16,2,49,296,0,0,351.36,1
12583,France,11120.81,2280.06,1235.645556,564,9,33,9453,0,0,11120.81,1
12584,Italy,1977.93,1102.94,259.02875,0,8,50.33333333,423,-12,-94.3,2072.23,1
12585,Germany,1766.81,1154.85,456.025,0,4,117,1267,-21,-57.29,1824.1,1
12586,Italy,-17,0,0,0,1,,0,-2,-17,0,1
12589,France,269.05,269.05,269.05,269.05,1,,203,0,0,269.05,0
12590,Germany,9338.38,9341.26,4670.63,0,2,,4282,-4,-2.88,9341.26,1
12591,Italy,368.85,368.85,368.85,368.85,1,,225,0,0,368.85,1
12592,Germany,708.4,708.4,708.4,708.4,1,,552,0,0,708.4,1
12593,France,382.1,200,127.3666667,85.8,3,55,204,0,0,382.1,1
12594,Italy,6888.58,1978.98,984.0828571,85.92,7,33.16666667,3942,0,0,6888.58,1
12596,Spain,643.82,643.82,643.82,643.82,1,,507,0,0,643.82,1
12597,Spain,3495.94,2017.34,1747.97,1478.6,2,85,2068,0,0,3495.94,1
12598,France,4370.84,2060.28,1097.81,0,4,61,2800,-24,-20.4,4391.24,1
12599,France,2149.8,514.7,358.3,232.2,6,35,2196,0,0,2149.8,1
12600,Germany,4632.08,1467.39,579.01,117,8,36.57142857,1444,0,0,4632.08,0
12601,Germany,479.56,126.26,81.17666667,0,6,35.25,240,-1,-7.5,487.06,1
12604,France,538.8,538.8,538.8,538.8,1,,454,0,0,538.8,1
12605,Germany,-7.5,0,0,0,1,,0,-4,-7.5,0,1
12609,Germany,1984.95,1339.62,992.475,645.33,2,132,1415,0,0,1984.95,1
12610,Italy,3231.2,2422,1080.916667,0,3,19,1787,-13,-11.55,3242.75,1
12613,Germany,3857.44,2022.14,1285.813333,419.67,3,32,2164,0,0,3857.44,1
12614,Germany,315.6,315.6,315.6,315.6,1,,76,0,0,315.6,0
12615,France,1653.56,1653.56,1653.56,1653.56,1,,1216,0,0,1653.56,0
12616,France,744.2,770.4,256.8,0,3,,336,-8,-26.2,770.4,1
12619,Germany,4805.79,1824.96,1201.4475,593.93,4,45.33333333,5317,0,0,4805.79,0
12620,France,1517.91,1517.91,1517.91,1517.91,1,,1153,0,0,1517.91,0
12621,Germany,25073.67,3465.3,1568.46375,0,16,19.23076923,15273,-19,-21.75,25095.42,0
12622,Germany,162.1,162.1,162.1,162.1,1,,68,0,0,162.1,1
12623,Germany,269.1,269.1,269.1,269.1,1,,189,0,0,269.1,1
12624,France,569.13,305.19,284.565,263.94,2,71,351,0,0,569.13,0
12625,Germany,2362.32,1590.62,804.6066667,0,3,107,1597,-34,-51.5,2413.82,1
12626,Germany,12387.03,2895.08,1261.916,0,10,42.2,7036,-103,-232.13,12619.16,1
12627,Germany,4899.62,2225.01,1633.206667,1179.23,3,15,2923,0,0,4899.62,0
12633,Germany,5451.18,3008.06,1368.6325,0,4,78.5,2834,-13,-23.35,5474.53,1
12635,Germany,1860.49,1860.49,1860.49,1860.49,1,,1319,0,0,1860.49,0
12637,France,8449.63,2646.97,1209.182857,0,7,33.2,4265,-9,-14.65,8464.28,1
12642,Germany,812.76,812.76,812.76,812.76,1,,626,0,0,812.76,1
12643,France,3041.64,1067.22,506.94,162.48,6,40.4,1788,0,0,3041.64,0
12644,Germany,477.91,477.91,477.91,477.91,1,,325,0,0,477.91,1
12645,Germany,4224.52,1763.42,1408.173333,1026,3,103,2582,0,0,4224.52,1
12647,Germany,6881.9,1344.9,693.48,0,10,29.75,2910,-12,-52.9,6934.8,1
12648,Germany,300.05,300.05,300.05,300.05,1,,159,0,0,300.05,0
12649,Germany,549.71,339,142.3775,0,4,52.5,583,-12,-19.8,569.51,1
12651,France,114,114,114,114,1,,78,0,0,114,0
12652,France,788.53,793.98,396.99,0,2,,498,-3,-5.45,793.98,1
12654,Germany,990.85,460.7,330.2833333,155.6,3,48.5,463,0,0,990.85,0
12656,France,6982.26,3064.06,1408.442,0,5,58.5,3527,-13,-59.95,7042.21,1
12662,Germany,7402.3,1328.35,929.375,0,8,43.83333333,4241,-18,-32.7,7435,1
12664,Finland,4137.88,2037.3,1379.293333,896.58,3,89,1156,0,0,4137.88,0
12665,Germany,43.75,45,22.5,0,2,,36,-1,-1.25,45,0
12668,Germany,7303.16,3574.4,1834.49,0,4,48,4140,-24,-34.8,7337.96,1
12669,France,1427.73,1028.3,713.865,399.43,2,105,1104,0,0,1427.73,1
12670,France,2726.07,1577.75,1363.035,1148.32,2,32,1491,0,0,2726.07,1
12672,France,225.9,225.9,225.9,225.9,1,,78,0,0,225.9,1
12673,Germany,220.9,220.9,220.9,220.9,1,,171,0,0,220.9,0
12674,France,2850.48,1866.48,960.16,0,3,37,1578,-24,-30,2880.48,1
12678,France,17098.38,9395.22,2856.43,0,6,50.25,12149,-24,-40.2,17138.58,0
12679,France,2282.71,2167.32,773.32,0,3,77,1097,-15,-37.25,2319.96,0
12680,France,858.08,858.08,858.08,858.08,1,,738,0,0,858.08,1
12681,France,25152.54,3035.1,1399.724444,0,18,14.92857143,15201,-10,-42.5,25195.04,0
12682,France,21257.71,2200.53,1118.826842,189.9,19,14.22222222,9893,0,0,21257.71,0
12683,France,16193.5,2710.59,1161.803571,0,14,25.7,10649,-7,-71.75,16265.25,1
12684,France,3754.8,1400.24,1251.6,991.24,3,21,3864,0,0,3754.8,0
12686,France,71.14,71.14,71.14,71.14,1,,106,0,0,71.14,0
12689,France,1455.62,1455.62,1455.62,1455.62,1,,950,0,0,1455.62,0
12690,France,335.01,335.01,335.01,335.01,1,,103,0,0,335.01,1
12691,France,1080.6,426.9,360.2,288.6,3,105.5,476,0,0,1080.6,0
12693,Germany,686.96,203.85,118.6516667,0,6,63.66666667,247,-5,-24.95,711.91,1
12694,France,1097.22,1097.22,1097.22,1097.22,1,,978,0,0,1097.22,1
12695,France,917.1,645.45,458.55,271.65,2,102,554,0,0,917.1,1
12700,France,5898.22,2950.3,2949.11,2947.92,2,58,4040,0,0,5898.22,1
12701,Germany,950.49,950.49,950.49,950.49,1,,711,0,0,950.49,1
12704,Finland,2890.55,1041.42,963.5166667,899.4,3,31,1459,0,0,2890.55,0
12705,Germany,12017.69,4387.6,1723.291429,0,7,66,7878,-20,-45.35,12063.04,1
12707,France,603.42,603.42,603.42,603.42,1,,256,0,0,603.42,0
12708,Germany,5289.5,1054.3,488.5809091,0,11,44,2884,-31,-84.89,5374.39,1
12709,Germany,17071.06,3605.78,1090.303125,0,16,25.22222222,7381,-65,-373.79,17444.85,1
12710,Germany,2132.55,1900.8,717,0,3,39,1327,-2,-18.45,2151,1
12712,Germany,11756.84,2564.4,847.7385714,0,14,25.9,3126,-16,-111.5,11868.34,0
12714,France,9012.54,3065.39,2253.135,1116.24,4,62,6436,0,0,9012.54,0
12716,France,623.9,623.9,623.9,623.9,1,,500,0,0,623.9,0
12720,Germany,8846.35,1163.17,553.26875,0,16,17.07142857,8414,-7,-5.95,8852.3,0
12721,France,3992.04,1242.53,803.838,0,5,56.66666667,3202,-5,-27.15,4019.19,1
12722,France,2676.27,1729.26,553.914,0,5,17,1613,-6,-93.3,2769.57,1
12724,France,649.86,377.4,324.93,272.46,2,158,446,0,0,649.86,1
12725,Italy,371.8,371.8,371.8,371.8,1,,162,0,0,371.8,1
12726,France,4535.28,1311.48,907.056,431.16,5,42.5,6278,0,0,4535.28,0
12727,France,7514.98,2486.38,1254.996667,0,6,33,4630,-12,-15,7529.98,1
12728,France,1579.09,575.01,526.3633333,501.5,3,37,787,0,0,1579.09,1
12729,France,417.01,417.01,417.01,417.01,1,,231,0,0,417.01,1
12731,France,32808.9,8298.16,3653.766667,0,9,31.14285714,16478,-60,-75,32883.9,1
12732,France,218.26,218.26,218.26,218.26,1,,110,0,0,218.26,0
12734,France,110.4,110.4,110.4,110.4,1,,88,0,0,110.4,1
12735,France,689.57,405.8,344.785,283.77,2,21,363,0,0,689.57,0
12736,France,144,144,144,144,1,,168,0,0,144,1
12738,Germany,137.35,137.35,137.35,137.35,1,,147,0,0,137.35,1
12747,United Kingdom,7560.67,1685.46,945.08375,703.92,8,36.85714286,2411,0,0,7560.67,0
12748,United Kingdom,39215.84,2557.65,296.1389552,0,134,1.80952381,26210,-429,-466.78,39682.62,1
12749,United Kingdom,8185.84,5726.27,1401.42,0,6,41,3212,-49,-222.68,8408.52,1
12757,Portugal,5164.86,2700.75,1294.965,0,4,33.5,2827,-12,-15,5179.86,1
12758,Portugal,2791.59,1570.19,1395.795,1221.4,2,159,2135,0,0,2791.59,1
12766,Portugal,14155.94,3683.6,2831.188,1792.73,5,54,7671,0,0,14155.94,0
12782,Portugal,1657.07,571.93,342.934,0,5,68.66666667,945,-16,-57.6,1714.67,0
12785,Portugal,255.95,255.95,255.95,255.95,1,,129,0,0,255.95,0
12792,Portugal,344.54,344.54,344.54,344.54,1,,215,0,0,344.54,0
12793,Portugal,461.48,357.68,230.74,103.8,2,36,292,0,0,461.48,1
12797,Portugal,166.18,226.03,75.34333333,0,3,,117,-39,-59.85,226.03,0
12808,Portugal,799.05,490.05,399.525,309,2,184,329,0,0,799.05,0
12809,Portugal,400.36,405.31,202.655,0,2,,217,-1,-4.95,405.31,0
12811,Portugal,458.85,246.6,229.425,212.25,2,22,227,0,0,458.85,0
12817,Austria,126.04,126.04,126.04,126.04,1,,52,0,0,126.04,1
12818,Austria,1157.88,1182.08,591.04,0,2,,920,-6,-24.2,1182.08,0
12820,United Kingdom,439.02,439.02,439.02,439.02,1,,426,0,0,439.02,0
12821,United Kingdom,92.72,92.72,92.72,92.72,1,,70,0,0,92.72,0
12823,United Kingdom,3901.5,1377,975.375,688.5,4,56,510,0,0,3901.5,0
12826,United Kingdom,2595.27,1006.05,520.374,0,5,61.33333333,2311,-4,-6.6,2601.87,0
12828,United Kingdom,1190.55,839.8,595.275,350.75,2,17,507,0,0,1190.55,1
12829,United Kingdom,253.05,207.25,97.66666667,0,3,23,376,-1,-39.95,293,0
12830,United Kingdom,14976.88,5528,3744.22,1175.04,4,12,19252,0,0,14976.88,0
12831,United Kingdom,215.05,215.05,215.05,215.05,1,,135,0,0,215.05,1
12833,United Kingdom,417.38,417.38,417.38,417.38,1,,156,0,0,417.38,0
12834,United Kingdom,312.38,312.38,312.38,312.38,1,,110,0,0,312.38,0
12836,United Kingdom,6957.37,2824.5,1739.3425,246.45,4,58,2875,0,0,6957.37,0
12837,United Kingdom,134.1,134.1,134.1,134.1,1,,24,0,0,134.1,0
12838,United Kingdom,1086.14,1086.14,1086.14,1086.14,1,,664,0,0,1086.14,1
12839,United Kingdom,7883.44,1185.6,876.3044444,0,9,35.85714286,5244,-2,-3.3,7886.74,1
12840,United Kingdom,2714.27,854.07,454.4616667,0,6,27,1511,-6,-12.5,2726.77,0
12841,United Kingdom,7953.53,897.1,467.8547059,173.45,17,16.0625,5212,0,0,7953.53,0
12842,United Kingdom,814.44,814.44,814.44,814.44,1,,462,0,0,814.44,0
12843,United Kingdom,5046,1327.85,633.4375,0,8,16.83333333,2421,-28,-21.5,5067.5,1
12844,United Kingdom,447.64,447.64,447.64,447.64,1,,190,0,0,447.64,0
12845,United Kingdom,354.09,208.8,88.5225,6.7,4,7.333333333,204,0,0,354.09,1
12849,United Kingdom,2337.23,2337.23,2337.23,2337.23,1,,1843,0,0,2337.23,0
12852,United Kingdom,299.75,311.55,155.775,0,2,,149,-4,-11.8,311.55,0
12853,United Kingdom,1881.7,897.8,217.4555556,0,9,36,800,-18,-75.4,1957.1,1
12854,United Kingdom,2180.03,1190.3,553.845,0,4,77,1122,-5,-35.35,2215.38,0
12855,United Kingdom,38.1,38.1,38.1,38.1,1,,30,0,0,38.1,1
12857,United Kingdom,1106.4,801.6,553.2,304.8,2,91,343,0,0,1106.4,0
12863,United Kingdom,-17,0,0,0,1,,0,-2,-17,0,0
12864,United Kingdom,147.12,147.12,147.12,147.12,1,,216,0,0,147.12,1
12865,Austria,3052.62,3072.78,1536.39,0,2,,1678,-48,-20.16,3072.78,1
12866,Belgium,499.12,499.12,499.12,499.12,1,,167,0,0,499.12,1
12867,United Kingdom,6973.64,1720.19,1163.648333,0,6,48,7892,-5,-8.25,6981.89,1
12868,United Kingdom,1607.06,437.52,267.8433333,182.45,6,37,928,0,0,1607.06,0
12870,United Kingdom,-14.9,0,0,0,1,,0,-2,-14.9,0,1
12871,United Kingdom,502.2,502.2,502.2,502.2,1,,284,0,0,502.2,0
12872,United Kingdom,599.97,378.53,299.985,221.44,2,38,319,0,0,599.97,1
12873,United Kingdom,374,374,374,374,1,,128,0,0,374,0
12875,United Kingdom,343.23,293.76,171.615,49.47,2,219,2019,0,0,343.23,1
12876,Belgium,2217.25,2217.25,2217.25,2217.25,1,,2217,0,0,2217.25,0
12877,United Kingdom,3208.43,980.41,356.4922222,109.8,9,28.5,2089,0,0,3208.43,0
12878,United Kingdom,2462.67,1556.13,1231.335,906.54,2,29,1575,0,0,2462.67,1
12881,United Kingdom,298,298,298,298,1,,21,0,0,298,1
12885,United Kingdom,1843.91,1860.86,930.43,0,2,,1039,-1,-16.95,1860.86,0
12886,United Kingdom,2604.52,2631.83,1315.915,0,2,,1607,-9,-27.31,2631.83,1
12888,United Kingdom,313.77,272.76,88.53,0,4,41,76,-8,-40.35,354.12,1
12891,United Kingdom,331,204,110.3333333,42,3,53.5,950,0,0,331,1
12897,United Kingdom,216.5,128.8,108.25,87.7,2,97,110,0,0,216.5,0
12901,United Kingdom,29493.24,6778.82,1326.095652,0,23,8.5,33678,-1392,-1006.96,30500.2,0
12902,United Kingdom,138.68,138.68,138.68,138.68,1,,66,0,0,138.68,0
12904,United Kingdom,711.88,711.88,711.88,711.88,1,,505,0,0,711.88,0
12908,United Kingdom,360,432,250,0,3,136,1200,-600,-390,750,0
12909,United Kingdom,3985.38,1687.55,805.566,0,5,25.5,2705,-7,-42.45,4027.83,1
12910,United Kingdom,4287.06,1879.68,1071.765,206.7,4,35.66666667,2318,0,0,4287.06,1
12913,United Kingdom,2547.37,1137.34,849.1233333,440.43,3,42,1087,0,0,2547.37,0
12915,United Kingdom,363.65,199.65,181.825,164,2,223,93,0,0,363.65,1
12916,United Kingdom,2982.35,847.85,601.23,0,5,60,1119,-8,-23.8,3006.15,0
12917,United Kingdom,594,594,594,594,1,,120,0,0,594,0
12919,United Kingdom,1528.55,735.3,386.1125,0,4,26,759,-2,-15.9,1544.45,0
12921,United Kingdom,27318.64,2409.55,832.3269697,0,33,11.28571429,16642,-58,-148.15,27466.79,1
12922,United Kingdom,405.38,405.38,405.38,405.38,1,,370,0,0,405.38,1
12924,United Kingdom,2501.67,1703,626.355,0,4,64,1390,-1,-3.75,2505.42,0
12928,United Kingdom,3530.3,1264.5,1176.766667,1077.4,3,105,2046,0,0,3530.3,1
12929,United Kingdom,105.1,117.85,58.925,0,2,,37,-1,-12.75,117.85,0
12930,United Kingdom,697.22,703.12,234.3733333,0,3,,336,-2,-5.9,703.12,1
12931,United Kingdom,92128.46,48281.52,8375.314545,66,11,25.1,62360,0,0,92128.46,1
12933,United Kingdom,1068.35,709.85,356.5333333,0,3,112,1082,-1,-1.25,1069.6,1
12935,United Kingdom,4788.53,1363.93,958.556,0,5,69.33333333,3831,-1,-4.25,4792.78,0
12937,United Kingdom,1454.8,837.25,727.4,617.55,2,69,964,0,0,1454.8,0
12939,United Kingdom,21647.88,9313.68,5411.97,1322.64,4,64.66666667,8692,0,0,21647.88,0
12942,United Kingdom,683.9,287.38,227.9666667,137.77,3,117,203,0,0,683.9,0
12943,United Kingdom,-3.75,0,0,0,1,,0,-1,-3.75,0,1
12944,United Kingdom,749.7,749.7,749.7,749.7,1,,422,0,0,749.7,1
12945,United Kingdom,462.95,462.95,462.95,462.95,1,,165,0,0,462.95,0
12947,United Kingdom,1407.29,429.57,145.8172727,0,11,45.6,1165,-8,-196.7,1603.99,0
12948,United Kingdom,4385.91,1672.64,1096.4775,494.42,4,52.66666667,2390,0,0,4385.91,0
12949,United Kingdom,9974.62,4538.08,1110.98,0,9,22.83333333,5703,-18,-24.2,9998.82,0
12951,United Kingdom,729.78,188.69,107.3971429,0,7,38.5,331,-3,-22,751.78,1
12955,United Kingdom,4072.92,1433.86,511.9775,0,8,30.75,3264,-22,-22.9,4095.82,1
12956,United Kingdom,108.07,108.07,108.07,108.07,1,,34,0,0,108.07,0
12957,United Kingdom,5366.34,1795.29,897.0316667,0,6,50.66666667,3797,-11,-15.85,5382.19,1
12962,United Kingdom,170.54,170.54,170.54,170.54,1,,78,0,0,170.54,1
12963,United Kingdom,1168.9,1168.9,1168.9,1168.9,1,,614,0,0,1168.9,0
12967,United Kingdom,1630.95,1368.4,553.6333333,0,3,13,438,-1,-29.95,1660.9,1
12968,United Kingdom,135.95,135.95,135.95,135.95,1,,73,0,0,135.95,0
12970,United Kingdom,23.8,17.2,11.9,6.6,2,0,8,0,0,23.8,1
12971,United Kingdom,23884.64,1228.56,383.1871429,0,63,4,20563,-85,-256.15,24140.79,1
12974,United Kingdom,144.8,144.8,144.8,144.8,1,,24,0,0,144.8,0
12976,United Kingdom,738.6,738.6,738.6,738.6,1,,561,0,0,738.6,0
12977,United Kingdom,39.24,39.24,39.24,39.24,1,,12,0,0,39.24,0
12980,United Kingdom,7092.06,1077.12,614.575,0,12,24.375,886,-22,-282.84,7374.9,1
12981,United Kingdom,492.46,492.46,492.46,492.46,1,,374,0,0,492.46,1
12982,United Kingdom,377.2,390.54,195.27,0,2,,288,-10,-13.34,390.54,1
12987,United Kingdom,916.1,929.8,464.9,0,2,,264,-2,-13.7,929.8,0
12988,United Kingdom,535.32,535.32,535.32,535.32,1,,136,0,0,535.32,0
